tank_id,species,avg_daily_temp,num_fish,day_length,tank_volume,num_sick
388,tilapia,24.2712251525129,93,10,399.454416952633,3
425,tilapia,24.5901291496196,98,11,399.837578231131,4
420,tilapia,22.9683745186346,103,9,399.450822325264,2
819,trout,14.0645280057374,85,11,401.12288566145,14
176,tilapia,23.3395955019226,98,10,400.01435930689104,3
926,trout,13.8,79,12,399.744465726852,10
454,tilapia,23.8262819090694,104,10,399.931091280505,0
204,tilapia,24.0265009468057,99,10,398.989507931594,6
851,trout,15.6562757634324,79,12,401.004259254191,17
515,tilapia,23.7882354976847,100,10,399.285493280529,7
996,trout,15.7363386790295,86,13,399.743891759719,19
715,tilapia,24.0467271520252,102,11,401.483269666681,5
186,tilapia,24.3520806905395,100,10,401.57020346624,0
678,tilapia,23.8022179755021,102,10,400.028021879009,4
776,trout,15.1999323316343,69,11,399.57344818817904,13
766,trout,15.1193874663199,79,12,399.96593686649,13
964,trout,14.9337938675402,74,11,400.275117611875,12
892,trout,15.1120851149759,87,13,400.384046652314,19
534,tilapia,23.3824000421765,98,8,399.449546543012,4
793,trout,14.7111345797935,82,11,399.716356434193,16
751,trout,14.8425305053541,75,11,400.47152711948,20
615,tilapia,23.7564429417007,103,10,400.073308580614,3
317,tilapia,22.8513009895559,98,11,402.061963482953,4
945,trout,14.6949793202414,66,14,398.41248630442,12
227,tilapia,23.1036228789566,109,12,400.144621396201,6
944,trout,15.1888140247927,62,12,399.811970483946,15
233,tilapia,23.19692025004,100,10,400.46690114412,5
113,tilapia,23.1000706683298,97,11,400.112271784797,3
844,trout,15.2626278642247,77,13,399.734275989956,16
973,trout,15.7140122531928,94,12,400.335309428759,16
920,trout,14.2742371991973,63,12,399.379537208081,13
382,tilapia,23.9243452330349,103,9,400.643923847699,3
383,tilapia,24.4351987337161,100,10,400.61596491984494,4
224,tilapia,24.3774649537342,103,10,400.56261837841504,0
980,trout,13.8893099705121,79,11,400.17733825934,14
244,tilapia,22.9291364850189,102,10,398.455334024837,6
816,trout,14.5447122042087,71,12,399.878260395494,15
67,tilapia,23.9726290395022,96,10,401.478339163685,1
747,tilapia,23.3578023258169,104,10,399.67896330779297,4
783,trout,14.8000165720383,73,13,401.978303476148,12
710,tilapia,24.3958023019485,100,9,399.811656719429,1
547,tilapia,23.3351489672318,98,10,400.525239509459,5
909,trout,14.3139021925586,76,13,400.683839750471,14
191,tilapia,22.9314048985264,102,10,400.896187238974,4
252,tilapia,23.5628550849159,103,10,399.500397785847,7
593,tilapia,23.7452191546067,102,10,401.619244789286,5
480,tilapia,24.2291034528968,100,9,399.533964981092,4
536,tilapia,23.8516170432863,100,10,399.176063949458,0
566,tilapia,23.8184119559402,101,10,399.6061883996,2
696,tilapia,24.0485489329341,101,12,400.67973733967,0
